BHK,Rent,Size,Area Type,City,Furnishing Status,Tenant Preferred,Bathroom,floor_number,total_floors
2,10000,1100,2,4,2,1,2,0,2
2,20000,800,2,4,1,1,1,1,3
2,17000,1000,2,4,1,1,1,1,3
2,10000,800,2,4,2,1,1,1,2
2,7500,850,1,4,2,0,1,1,2
2,7000,600,2,4,2,1,2,0,1
2,10000,700,2,4,2,0,2,0,4
1,5000,250,2,4,2,0,1,1,2
2,26000,800,1,4,2,0,2,1,2
2,10000,1000,1,4,1,1,2,1,3
3,25000,1200,1,4,1,1,2,1,4
1,5000,400,1,4,2,1,1,1,1
1,6500,250,1,4,0,0,1,1,4
1,5500,375,1,4,2,1,1,1,2
3,8500,900,1,4,2,0,2,0,2
3,40000,1286,1,4,0,1,2,1,1
2,6000,600,2,4,1,1,1,1,2
2,10000,800,2,4,2,1,1,0,2
2,11000,2000,1,4,2,1,1,0,3
2,6000,660,2,4,2,1,1,1,2
2,7900,650,1,4,2,2,1,1,2
2,9000,400,1,4,2,0,2,2,3
1,4000,300,1,4,2,1,1,0,4
3,6500,1600,2,4,2,1,1,0,2
1,8000,400,2,4,1,0,1,1,2
2,7000,1000,2,4,2,1,1,1,1
1,5300,355,1,4,1,1,1,1,1
2,6000,1000,2,4,1,1,1,0,3
2,8500,800,2,4,2,1,1,4,5
2,12500,850,2,4,2,1,2,0,2
1,7500,350,1,4,2,1,1,0,2
2,15000,900,1,4,2,1,2,0,2
2,6000,550,2,4,1,1,1,1,1
2,5000,500,1,4,2,1,2,0,2
3,22000,1100,1,4,2,1,1,2,3
2,15000,850,1,4,1,1,1,1,2
2,12500,800,1,4,2,0,1,2,2
2,7000,630,1,4,2,0,1,0,3
2,21000,900,1,4,1,0,2,1,2
1,10000,270,1,4,1,1,1,1,2
2,7200,630,1,4,1,1,1,0,1
3,12000,1500,1,4,0,0,2,0,2
1,5000,600,2,4,2,1,1,2,5
2,8500,700,1,4,1,1,1,4,14
1,6000,300,2,4,1,1,1,0,3
2,10000,1300,2,4,1,2,2,0,1
2,4600,400,1,4,1,0,1,3,3
2,12000,650,2,4,2,2,2,0,1
3,30000,2000,2,4,1,1,2,0,2
3,15000,1068,2,4,1,1,2,0,3
1,7500,150,2,4,0,1,1,1,1
1,7500,450,1,4,2,0,1,2,2
2,5000,800,1,4,2,1,1,0,1
2,15000,1000,2,4,2,1,2,0,2
2,11000,900,2,4,1,0,1,5,5
1,7000,600,1,4,2,1,1,0,2
2,6000,1200,2,4,2,1,1,1,1
2,6000,1200,2,4,1,0,2,2,2
2,7000,650,2,4,1,1,2,0,3
2,8500,720,1,4,1,1,2,4,4
1,5000,300,1,4,2,0,1,1,3
3,30000,1200,1,4,2,1,3,0,2
2,10000,700,1,4,2,1,2,7,8
3,30000,2000,2,4,1,1,2,1,3
1,3500,250,2,4,1,1,1,0,4
2,8000,1100,1,4,2,0,1,0,3
1,5000,300,1,4,2,1,1,0,2
2,7500,600,2,4,1,1,1,0,2
2,6500,800,1,4,2,1,1,0,2
1,7500,680,2,4,2,1,1,1,3
1,7500,680,2,4,2,1,1,0,2
2,16000,850,1,4,1,0,1,1,4
2,16000,850,1,4,1,0,1,1,2
2,6500,700,2,4,2,0,1,0,2
3,40000,1500,2,4,2,1,2,0,2
2,12500,950,2,4,1,1,2,1,4
2,5500,500,2,4,2,1,1,0,2
1,5000,450,1,4,1,1,1,2,4
2,6500,700,2,4,2,0,1,0,2
1,8000,500,2,4,2,1,1,1,2
3,14500,1800,2,4,1,1,2,0,2
1,8200,500,1,4,1,1,1,1,3
2,15000,480,1,4,0,1,2,0,3
6,20000,1000,2,4,1,1,2,1,1
2,6700,800,2,4,0,1,1,1,2
1,10000,435,2,4,2,1,1,2,3
2,7000,700,1,4,1,1,2,0,2
2,22000,800,2,4,0,1,1,4,4
2,6500,450,2,4,2,1,1,1,3
2,8500,550,1,4,1,1,1,2,3
2,18000,800,1,4,2,0,2,0,4
2,12000,550,1,4,1,2,2,0,2
1,9000,600,2,4,0,1,1,2,4
1,6000,500,2,4,2,1,1,0,1
2,20000,1000,2,4,0,1,2,1,2
1,5000,300,1,4,2,1,1,1,2
2,12000,1200,2,4,0,1,2,1,3
2,10000,500,1,4,1,1,1,3,4
4,18000,1200,2,4,2,2,2,1,2
2,15000,900,1,4,1,1,2,1,2
3,22000,1300,1,4,2,1,3,0,2
4,35000,1600,1,4,2,1,3,1,5
3,21000,1450,2,4,2,2,2,0,1
2,25000,1100,2,4,0,0,2,2,2
1,6000,600,1,4,2,1,1,8,5
2,14000,700,1,4,2,1,2,0,2
3,8000,750,2,4,2,2,1,0,2
2,8000,1000,2,4,2,1,1,0,1
1,6000,220,2,4,0,1,1,0,2
1,8000,300,1,4,1,0,1,1,3
1,6000,300,1,4,2,1,1,0,1
1,20000,700,2,4,1,1,1,1,2
3,12000,800,2,4,2,1,2,0,1
3,15000,1600,2,4,2,1,2,1,3
2,14000,1000,1,4,2,1,2,1,3
1,5000,20,2,4,2,1,1,2,3
2,7000,400,1,4,2,1,1,0,2
1,3900,200,2,4,0,1,1,2,2
3,14000,840,1,4,2,0,2,1,4
1,6300,300,1,4,2,1,1,1,1
2,13000,550,1,4,0,1,2,1,2
1,6800,300,1,4,2,1,1,1,2
2,8000,800,2,4,2,1,2,1,1
2,10000,740,1,4,2,0,1,0,6
2,18000,1300,2,4,2,1,2,1,1
2,8000,650,2,4,1,1,1,0,1
2,8000,490,2,4,1,1,1,1,1
1,4700,250,2,4,0,1,1,2,2
1,4700,250,2,4,0,1,1,0,1
1,4500,450,2,4,2,1,1,1,2
1,6000,300,1,4,1,1,1,0,1
2,16000,750,2,4,2,1,2,1,3
1,4700,250,2,4,0,1,1,1,2
2,14000,751,1,4,2,0,1,3,3
2,9000,900,1,4,1,0,1,0,2
2,5000,400,1,4,1,1,1,1,3
2,17500,1000,1,4,1,1,2,0,2
2,8500,1000,1,4,2,1,1,0,1
3,15000,1500,1,4,1,2,2,1,1
2,12500,750,1,4,2,1,2,1,3
1,13000,1200,2,4,1,1,1,2,4
2,8000,700,2,4,2,1,1,0,1
